Start Season,n,Reports Filed,Reports Not Filed,Pct Filed
2009 Summer,175,173,2,98.85714285714286
2011 Fall,304,304,0,100
2011 Summer,70,59,11,84.28571428571429
2015 Fall,306,306,0,100
2019 Spring,35,35,0,100
2021 Fall,188,187,1,99.46808510638297
2021 Spring,48,47,1,97.91666666666666
2022 Fall,726,672,54,92.56198347107438
2022 Spring,333,146,187,43.84384384384384
2022 Summer,45,44,1,97.77777777777777
2023 Fall,4739,4395,344,92.7410846170078
2023 Spring,1197,1108,89,92.56474519632414
2023 Summer,344,344,0,100
2024 Spring,432,407,25,94.21296296296296
NA NA,30,0,30,0
