Sport,Semester,SD,ED
Women's Soccer,Fall,8/17/2023,12/9/2023
Men's Soccer,Fall,8/24/2023,12/10/2023
Field Hockey,Fall,8/25/2023,11/10/2023
Football,Fall,8/26/2023,12/9/2023
Women's Volleyball,Fall,8/25/2023,12/15/2023
Women's Ice Hockey,Fall/Spring,10/1/2023,3/24/2024
Men's Basketball,Fall/Spring,11/6/2023,4/8/2024
Women's Basketball,Fall/Spring,11/6/2023,4/7/2024
Men's Cross Country,Fall,9/1/2023,11/18/2023
Women's Cross Country,Fall,9/1/2023,11/18/2023
Men's Lacrosse,Spring,2/1/2024,5/27/2024
Men's Crew,Spring,4/6/2024,6/1/2024
Men's Track,Spring,12/1/2023,6/6/2024
Women's Lacrosse,Spring,2/1/2024,5/27/2024
Women's Rowing,Spring,4/6/2024,6/1/2024
Women's Tennis,Spring,1/20/2024,5/25/2024
Women's Softball,Spring,2/9/2024,6/6/2024
Women's Track,Spring,12/1/2023,6/6/2024
Men's Ice Hockey,Fall/Spring,10/1/2023,3/24/2024
Men's Women's Spirit Teams,,,
