College,Total Weekly Hours
Architecture,57.5833333333333
Arts & Sciences,5822.916666666657
Education,444.83333333333275
Engineering & Computer Science,1295.4166666666645
Environmental Science & Fstry,55.24999999999992
Information Studies,312.24999999999955
"Information Studies,Management",5.5
Law,75.33333333333334
Management,2540.9166666666624
Maxwell,147.58333333333326
"Maxwell,Sport and Human Dynamics",7.99999999999998
Professional Studies,20.499999999999954
Public Communications,1194.7499999999984
Sport and Human Dynamics,3185.1666666666606
Visual & Performing Arts,1498.749999999998
