Sport,n,Known Attendance,Did Attend,Did Not Attend,Did Attend Pct
Field Hockey,415,249,159,90,63.85542168674698
Football,4497,2539,1827,712,71.95746356833399
Men's Basketball,457,309,196,113,63.43042071197411
Men's Crew,647,381,225,156,59.055118110236215
Men's Lacrosse,2541,1561,1249,312,80.0128122998078
Men's Soccer,170,83,53,30,63.85542168674698
Men's Track,732,466,352,114,75.53648068669528
Men's Women's Spirit Teams,157,114,60,54,52.63157894736842
Women's Basketball,315,205,146,59,71.21951219512195
Women's Ice Hockey,397,267,154,113,57.67790262172284
Women's Lacrosse,531,370,209,161,56.486486486486484
Women's Rowing,803,484,277,207,57.231404958677686
Women's Soccer,254,147,81,66,55.10204081632652
Women's Softball,315,188,116,72,61.702127659574465
Women's Tennis,223,105,78,27,74.28571428571429
Women's Track,777,493,336,157,68.15415821501014
Women's Volleyball,376,238,128,110,53.78151260504202
NA,60,28,17,11,60.71428571428571
